Review Title,Up Votes,Down Votes,Review text,Ratings,clean_review,sentiment
Nice product,5.0,0.0,superbREAD MORE,4,superbread,Positive
Unsatisfactory,4.0,0.0,"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1,looked like defective without balance throw read,Negative
Nice product,13.0,3.0,Genuine product at very reasonable price....got for Rs 630/-READ MORE,4,genuine product reasonable pricegot rs read,Positive
Fabulous!,19.0,8.0,Good sealed Original Yonex ShuttlesREAD MORE,5,good sealed original yonex shuttlesread,Positive
Not good,3.0,0.0,They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2,expectedthe head portion break soondefective piecesread,Negative
Good choice,4.0,0.0,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4,giving star price hike please anyone suggest shuttle cork performance lower priceread,Positive
Great product,6.0,0.0,quality is pooverREAD MORE,5,quality pooverread,Positive
Best in the market!,14.0,5.0,good productREAD MORE,5,good productread,Positive
Super!,9.0,3.0,Good product.....READ MORE,5,good productread,Positive
Very Good,216.0,219.0,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4,received good conditionam really satisfied productbut satisfied delivery boys always coins returnit means paying extra money item also know opportunity never coins returni really dont like kind selfishnessread,Positive
Slightly disappointed,2.0,0.0,"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",2,using found shuttles quality upto level box quality stickerread,Negative
Did not meet expectations,2.0,0.0,Local productREAD MORE,1,local productread,Negative
Not good,2.0,0.0,Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,2,shuttle separated base single shot poor qualityread,Negative
Not good,2.0,0.0,shuttle is over rotatingREAD MORE,2,shuttle rotatingread,Negative
Absolute rubbish!,3.0,0.0,Very bad quality.READ MORE,1,bad qualityread,Negative
Worst experience ever!,2.0,0.0,Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1,worst quality shots ball started rotateread,Negative
Decent product,3.0,0.0,Not expecting this kind of products from flipkart.READ MORE,3,expecting kind products flipkartread,Neutral
Awesome,3.0,0.0,No one better shuttles in the market.good quality and reasonable price.READ MORE,5,one better shuttles marketgood quality reasonable priceread,Positive
Did not meet expectations,4.0,1.0,low qualityREAD MORE,1,low qualityread,Negative
Really Nice,8.0,3.0,Superb quality... And best price.. Thanks to flipkart..!READ MORE,4,superb quality best price thanks flipkartread,Positive
Utterly Disappointed,4.0,1.0,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1,second quality shuttles dont buy almost torn shaped worst experience go buy shop costs around read,Negative
Really Nice,5.0,1.0,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4,dont think genuine cos checked official website yonex hologram number yet product bad job well definitely comparing one original one shop near let others know difference anyread,Positive
Not recommended at all,2.0,0.0,Very bad quality this timeREAD MORE,1,bad quality timeread,Negative
Absolute rubbish!,1.0,0.0,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1,ive received duplicate n cheapest balls kept inside broken box done deleberately worst experience ive ever flipkart buy anything except badminton yonex mavis read,Negative
Horrible,1.0,0.0,"Quality is not good, rejected qualityREAD MORE",1,quality good rejected qualityread,Negative
Mind-blowing purchase,1.0,0.0,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5,green cap shuttle good indoor well outdoor play though slow speed durable thanks great dealread,Positive
Terrific purchase,0.0,0.0,Really Nice productQuick delivery Thanks filpkartREAD MORE,5,really nice productquick delivery thanks filpkartread,Positive
Awesome,2.0,0.0,Very nice shuttleREAD MORE,5,nice shuttleread,Positive
Don't waste your money,0.0,0.0,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1,horrible producteach shuttle didnt last even single dayextremely poor qualitypatheticread,Negative
Worst experience ever!,0.0,0.0,Quality very low. Not orginalREAD MORE,1,quality low orginalread,Negative
Unsatisfactory,0.0,0.0,WorstREAD MORE,1,worstread,Negative
Very poor,0.0,0.0,Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1,difference online quality market quality local market products far better online productsread,Negative
Worst experience ever!,0.0,0.0,Dont but it.... worst productREAD MORE,1,dont worst productread,Negative
Very poor,0.0,0.0,Low quality very bad quality 😡READ MORE,1,low quality bad quality read,Negative
Utterly Disappointed,0.0,0.0,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1,product original cork used come within days use please dont buy shuttles original rather buy shop shop rates sameread,Negative
Worthless,0.0,0.0,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1,quality good earlier also manufactur date also long back earlier shuttlecocks received max past month manufacturer also backread,Negative
Absolute rubbish!,0.0,0.0,Not genuine productREAD MORE,1,genuine productread,Negative
Waste of money!,0.0,0.0,Waste productREAD MORE,1,waste productread,Negative
Absolute rubbish!,0.0,0.0,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1,used shuttle item quality slow disappointed timeread,Negative
Waste of money!,0.0,0.0,Very High PriceREAD MORE,1,high priceread,Negative
Waste of money!,0.0,0.0,"Bad bad , compare to ah year back coming mavis 350READ MORE",1,bad bad compare ah year back coming mavis read,Negative
Just wow!,2.0,0.0,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5,yonex mavis best among yonex shuttlecocks playing one year price increasing unnecessarily rs last yearread,Positive
Worst experience ever!,0.0,0.0,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1,bad product quality used shuttle days totally wastage money copied productread,Negative
Very poor,0.0,0.0,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1,shuttles heavier specifications felt like playing cheap rip original mavis read,Negative
Don't waste your money,0.0,0.0,3rd class quality  I want Returns but time is overREAD MORE,1,rd class quality want returns time overread,Negative
Very poor,0.0,0.0,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1,worst shuttle ever shuttles started spinning shots even come gameread,Negative
Not recommended at all,0.0,0.0,Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1,certain corks damaged certain corks even came matchesread,Negative
Absolute rubbish!,0.0,0.0,Very bad quality 👎READ MORE,1,bad quality read,Negative
Terrible product,1.0,0.0,Not expected qualityREAD MORE,1,expected qualityread,Negative
Don't waste your money,1.0,0.0,Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1,bad quality couldnt play hr shuttleread,Negative
Waste of money!,1.0,0.0,not durable. very poor qualityREAD MORE,1,durable poor qualityread,Negative
Good quality product,1.0,0.0,but price is littel bit highREAD MORE,4,price littel bit highread,Positive
Terrific purchase,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Just okay,1.0,0.0,NiceREAD MORE,3,niceread,Neutral
Perfect product!,0.0,0.0,not the required one.READ MORE,5,required oneread,Positive
Not recommended at all,2.0,0.0,This product is not original.please avoid online purchase.READ MORE,1,product originalplease avoid online purchaseread,Negative
Worthless,1.0,0.0,One shuttle was damaged and vobling..let me know what to doREAD MORE,1,one shuttle damaged voblinglet know doread,Negative
Good choice,0.0,0.0,Good quality productREAD MORE,4,good quality productread,Positive
Terrific purchase,0.0,0.0,Good shuttle and  classic productREAD MORE,5,good shuttle classic productread,Positive
Don't waste your money,2.0,0.0,got defective piecesREAD MORE,1,got defective piecesread,Negative
Horrible,1.0,0.0,"bad packing, unsatisfiedREAD MORE",1,bad packing unsatisfiedread,Negative
Awesome,1.0,0.0,Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5,pros quality product yonexit original shuttle runs long prompt delivery flipkart shuttle durableconsnoneread,Positive
Super!,2.0,0.0,good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5,good quality nice product thanks fpr fast deliveryread,Positive
Brilliant,2.0,0.0,Nice cockeREAD MORE,5,nice cockeread,Positive
Just wow!,2.0,0.0,Good qualityREAD MORE,5,good qualityread,Positive
Duplicate product sold by RetailNet.,2.0,0.0,Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1,scratch code mentioned barrel verified yonex sunrise website mentioned product duplicateread,Negative
Really Nice,2.0,0.0,it's awsm 😎READ MORE,4,awsm read,Positive
Best in the market!,2.0,0.0,reasonable priceREAD MORE,5,reasonable priceread,Positive
Super!,2.0,0.0,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5,excellent product original product received fast delivery second tough go itread,Positive
Just wow!,2.0,2.0,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5,one best offer given flipkart best shuttle tournaments training always use type shuttles play yonex mavis green thanks flipkart best deal always put type deal booked onlyread,Positive
Delightful,1.0,1.0,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4,good question lasting matches purchase yonex mavis blue one little bit fast good smash lasting like green capread,Positive
Good for starters but not the best.,1.0,1.0,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4,mavis quite durable really good starters recommend mavis best practice sessionsread,Positive
Wonderful,1.0,1.0,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4,received product committed time thanks flipkart mavis really awesome product doesnt matter whether beginners intermediate advanced level player mavis definitely perfectly works playing last yearsread,Positive
Simply awesome,1.0,1.0,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5,good nicely packed everyshuttle nice insude perfect flightread,Positive
Worth every penny,8.0,5.0,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5,got product earlier expected rs th april sale box properly sealed feb packingimport date sure mrp way cheaper market price rs per box also checked popular websites one close flipkart point always use mavis green cap stability durability speed open court thanks flipkart hoping cheaper deal againread,Positive
Mind-blowing purchase,6.0,2.0,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5,best choice people wants practice indoor outdoor badminton get financial obligations feather shuttle mavis hard find times savior always available yellow ones bit better outdoor white fine indoors respective colours given backdrop flipkart offered best price almost season far longevity shuttles starkly less played outdoor dueread,Positive
Wonderful,0.0,0.0,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4,long time got entire box genuine shuttles dynamic pricing strategy big everyday prices cant go otherwise would happy buyread,Positive
Delightful,0.0,0.0,very good product n durable but not good enough speed slows down little in mid airREAD MORE,4,good product n durable good enough speed slows little mid airread,Positive
Brand new and Genuine,0.0,0.0,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4,shuttles imported february bought march last serial number revealed scratching sticker shows item genuine start play yet items look good sturdy got think worth price also happy get items delivered quicklyread,Positive
Must buy!,0.0,0.0,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5,best shuttlecocks life far better li ning shuttle price range purchased rs sale flight also better shuttlecocksread,Positive
Nice product,0.0,2.0,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4,good n nice balanced shuttles thanks retailnet n flipkart hope wel get convincing rates lowered oneread,Positive
Simply awesome,2.0,0.0,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5,shuttle best one excellent price doesnt matter read,Positive
Hated it!,3.0,1.0,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1,quality badper day one cork finishedmay look like duplicate mavis corksi purchased many cork boxes sellersthat cork boxes comes days playing box stays days understand delicate cork box isread,Negative
Unsatisfactory,1.0,1.0,Cost is too high I hate the productREAD MORE,1,cost high hate productread,Negative
Utterly Disappointed,1.0,1.0,Very poor quality...inconsistent speed...poor flightREAD MORE,1,poor qualityinconsistent speedpoor flightread,Negative
Excellent,3.0,0.0,Yonex is always best in quality....READ MORE,5,yonex always best qualityread,Positive
Worthless,3.0,1.0,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1,worst shuttle doesnt last even day poor quality sure due stock issue copy product would never buy flipkartread,Negative
MAVIS 350,3.0,0.0,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5,used product good economic use durable good balance long lasting even sustains wrong shots quiet economic compared feather shuttlesread,Positive
Excellent,4.0,1.0,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5,im happy product quality arrived actual delivery date given thanks flipkart quick delivery recommended everyone would like enjoy longer satisfied gamesread,Positive
Mind-blowing purchase,4.0,2.0,Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5,amazing shuttlecockdurable best qualitygo itread,Positive
Just wow!,4.0,2.0,checked at Sunrisetnt.com . found genuineREAD MORE,5,checked sunrisetntcom found genuineread,Positive
Did not meet expectations,4.0,5.0,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1,horrible st order received mavis sealed bill mavis thought mistake asked replacement replacement received box mavis sealed inside cheap shuttles local quality buy flipkartread,Negative
Not good,2.0,2.0,AverageREAD MORE,2,averageread,Negative
Excellent shuttlecocks,3.0,2.0,"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",5,excellent synthetic shuttles yonex used well prefer yellow ones visibility general quite durable long lasting one shuttle easily last half dozen dozen intense games flight becomes unacceptable found travel shorter distances therefore prefer themread,Positive
Best in the market!,3.0,2.0,Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,5,best shuttle available market used shuttles till aware better shuttlethe price got flipkart really best price researched checking online stores sports shops definitely best price could findread,Positive
Not recommended at all,3.0,4.0,"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",1,bad quality pirchase boxes fastread,Negative
Awesome,2.0,1.0,Best shuttle available online no more discription needed.READ MORE,5,best shuttle available online discription neededread,Positive
Just wow!,0.0,1.0,long lasting product.....nice product....READ MORE,5,long lasting productnice productread,Positive
Terrific,2.0,0.0,best shuttleREAD MORE,5,best shuttleread,Positive
Super!,1.0,1.0,🏸Good Quality... 🏸READ MORE,5,good quality read,Positive
Awesome,2.0,0.0,Fabulous itemREAD MORE,5,fabulous itemread,Positive
Awesome,1.0,0.0,Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,5,nice qualityvery good producti much thankful flipkart courier company delivering quicklyi happyand definitely tell friends order productread,Positive
Don't waste your money,1.0,0.0,Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,1,feels quality far less compared previous set brought platform shuttle breaking wobbling per hr game session feeling cheatedread,Negative
Brilliant,1.0,0.0,This is the original mavis 350READ MORE,5,original mavis read,Positive
Worthless,0.0,0.0,Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,1,bad quality poor quality playing ahuttles caps looseread,Negative
Just okay,0.0,0.0,Two shuttles were durable out of 6..READ MORE,3,two shuttles durable read,Neutral
Worst experience ever!,0.0,0.0,Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,1,poor quality horrible didnt play two games shuttleread,Negative
Terrible product,1.0,0.0,Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,1,worst product every ball box got flat within one two strokes disappointed fact flipkart accepting replacement open box delivery without using product could know qualityread,Negative
Just wow!,1.0,0.0,Best oneREAD MORE,5,best oneread,Positive
Perfect product!,1.0,0.0,Excellent product👌READ MORE,5,excellent productread,Positive
Terrible product,0.0,0.0,Very Bad Quality in filpkartREAD MORE,1,bad quality filpkartread,Negative
Good,1.0,0.0,Delicate productREAD MORE,3,delicate productread,Neutral
Don't waste your money,1.0,0.0,Bad qualityREAD MORE,1,bad qualityread,Negative
Very poor,0.0,0.0,Don't have good qualityREAD MORE,1,dont good qualityread,Negative
Absolute rubbish!,0.0,0.0,Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,1,quality shuttles per mavis standardsread,Negative
Must buy!,1.0,0.0,It's is good product and the service was very goodREAD MORE,5,good product service goodread,Positive
Not recommended at all,1.0,0.0,2nd qualityREAD MORE,1,nd qualityread,Negative
Moderate,1.0,0.0,Local productREAD MORE,2,local productread,Negative
Not good,1.0,0.0,Very old stock.. not lasts to even 5 gamesREAD MORE,2,old stock lasts even gamesread,Negative
Utterly Disappointed,1.0,0.0,All shuttles are not good in view of balance.READ MORE,1,shuttles good view balanceread,Negative
Just wow!,0.0,0.0,OkREAD MORE,5,okread,Positive
Terrific purchase,1.0,0.0,Nice product all suttles are good 🥰🥰READ MORE,5,nice product suttles good read,Positive
Excellent,1.0,0.0,Nice productREAD MORE,5,nice productread,Positive
Could be way better,1.0,0.0,Old one onlyREAD MORE,2,old one onlyread,Negative
Perfect product!,1.0,0.0,Super ballREAD MORE,5,super ballread,Positive
Must buy!,0.0,0.0,According to cost it's average lifeREAD MORE,5,according cost average liferead,Positive
Slightly disappointed,0.0,0.0,So worstREAD MORE,2,worstread,Negative
Not recommended at all,0.0,0.0,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,1,poor quality read,Negative
Did not meet expectations,0.0,0.0,Quality not good              It was broken after 2 matchREAD MORE,1,quality good broken matchread,Negative
Not good,0.0,0.0,Nice product but damage in 1 daysREAD MORE,2,nice product damage daysread,Negative
Useless product,0.0,0.0,Not good at all this is the worst product I have bought at flipkartREAD MORE,1,good worst product bought flipkartread,Negative
Absolute rubbish!,0.0,0.0,Low quality. Not durabalityREAD MORE,5,low quality durabalityread,Positive
Hated it!,0.0,0.0,BadlyREAD MORE,1,badlyread,Negative
Don't waste your money,0.0,0.0,Very bad qualityREAD MORE,1,bad qualityread,Negative
Waste of money!,0.0,0.0,Very bad product a word to describe I write duplicate productREAD MORE,1,bad product word describe write duplicate productread,Negative
Absolute rubbish!,1.0,0.0,This time quality very very worstREAD MORE,1,time quality worstread,Negative
Expected a better product,1.0,0.0,Poor quality ☹️READ MORE,2,poor quality read,Negative
Horrible,0.0,0.0,Very  low bad quality product Flipkart is fooling everyoneREAD MORE,3,low bad quality product flipkart fooling everyoneread,Neutral
Expected a better product,0.0,0.0,"This shuttles were duplicates, these were not up to the mark.READ MORE",2,shuttles duplicates markread,Negative
Useless product,0.0,0.0,Very bad product I ever receivedREAD MORE,1,bad product ever receivedread,Negative
Don't waste your money,0.0,0.0,Bad copy quality riceveREAD MORE,1,bad copy quality riceveread,Negative
Very poor,0.0,0.0,Waste of moneyREAD MORE,1,waste moneyread,Negative
Worthless,0.0,0.0,Quality is very bad and very very tired class shuttecockREAD MORE,1,quality bad tired class shuttecockread,Negative
Unsatisfactory,0.0,0.0,WorstREAD MORE,1,worstread,Negative
Useless product,0.0,0.0,So poor qualityREAD MORE,1,poor qualityread,Negative
Worthless,1.0,0.0,Reate is wery to muchREAD MORE,1,reate wery muchread,Negative
Absolute rubbish!,1.0,0.0,The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,1,worst shuttle ever used far dont buy product low qualityread,Negative
Expected a better product,1.0,0.0,not upto mark cork getting cracksREAD MORE,2,upto mark cork getting cracksread,Negative
Horrible,1.0,0.0,Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,1,poor quality lasting one set base breakinf top wornread,Negative
Utterly Disappointed,1.0,0.0,"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",1,bad quality good dont like prefer beacuse delivery late comfortable change elf near product also deliver emergency things dont order flipcart better go apps really bad service product quality also badread,Negative
Must buy!,1.0,0.0,Very goodREAD MORE,5,goodread,Positive
Classy product,1.0,0.0,Good quality of shuttlesREAD MORE,5,good quality shuttlesread,Positive
Brilliant,1.0,0.0,"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",5,im writing review rated star received duplicate productnow im rating star received original yonex mavis shuttlethank future hope receive original productsread,Positive
Terrible product,1.0,0.0,Bad productedREAD MORE,1,bad productedread,Negative
Delightful,0.0,0.0,Good productREAD MORE,4,good productread,Positive
Does the job,0.0,0.0,Received counterfeit product.READ MORE,3,received counterfeit productread,Neutral
Fabulous!,1.0,0.0,If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,5,u play hours daily shuttle would last maximum daysread,Positive
Terrific purchase,1.0,0.0,Good productREAD MORE,5,good productread,Positive
Nice,1.0,0.0,One day 1cap gaanREAD MORE,3,one day cap gaanread,Neutral
Just wow!,1.0,0.0,GoodREAD MORE,5,goodread,Positive
Best in the market!,1.0,0.0,Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,5,superb price higher day day two weeks price gained rsread,Positive
Best in the market!,1.0,0.0,Good qualityREAD MORE,5,good qualityread,Positive
